id,pred
0,0.0966350616
1,0.7678951550
2,0.8915035532
3,0.9120745438
4,0.0105838269
5,0.9684398216
6,0.6478663307
7,0.0000000000
8,0.5156916373
9,0.7467585692
10,0.0249081586
11,0.6117186594
12,0.0139664335
13,0.6503494295
14,0.6453565920
15,0.0524303827
16,0.4204575604
17,0.0028392568
18,0.0709371963
19,0.9382149513
20,0.0000000000
21,0.0587610994
22,0.6287176430
23,0.7939131051
24,0.0008785671
25,0.2340143130
26,0.9872058853
27,0.9158188338
28,0.0651034327
29,0.9430616079
30,0.8939729639
31,0.0104752545
32,0.0773266924
33,0.0271434805
34,0.0129006350
35,0.0000000000
36,0.2104940433
37,0.9285711109
38,0.0000000000
39,0.0253349781
40,0.0730718380
41,0.1560965022
42,0.0083307822
43,0.0121658148
44,0.9210823337
45,0.0540051358
46,0.7967909600
47,0.9162814603
48,0.7911030662
49,0.8683893622
50,0.5216441963
51,0.8502818636
52,0.0613907014
53,0.0115323308
54,0.9434773626
55,0.0145092466
56,0.0000000000
57,0.0081277244
58,0.6847252555
59,0.0000000000
60,0.0078194967
61,0.0137347819
62,0.9379991792
63,0.9613971386
64,0.2112904087
65,0.0444184188
66,0.0130043690
67,0.0061918412
68,0.7034058752
69,0.9202504796
70,0.2758780690
71,0.0597150717
72,0.5486130208
73,0.6667005535
74,0.0632286476
75,0.0085046047
76,0.0106810301
77,0.0000000000
78,0.7010911348
79,0.0464738730
80,0.0000000000
81,0.6752157767
82,0.0321090862
83,0.0605784649
84,0.6282674021
85,0.8395014575
86,0.4887127915
87,0.0102455941
88,0.8031009478
89,0.9139794532
90,0.0008944514
91,0.1430029875
92,0.0705893088
93,0.0236307635
94,0.6779437003
95,0.0157183998
96,0.0028454954
97,0.9621919957
98,0.0009765625
99,0.0624294852
100,0.9265879726
101,0.0370797287
102,0.9572890888
103,0.0071536173
104,0.8708297261
105,0.9559209494
106,0.0335124418
107,0.4831363777
108,0.9741463029
109,0.7294343775
110,0.2431570305
111,0.2081510293
112,0.9715805540
113,0.5391515023
114,0.0144134054
115,0.0017544608
116,0.0000000000
117,0.1963775777
118,0.2790062065
119,0.2571988026
120,0.0497346484
121,0.7539228922
122,0.8653928039
123,0.0007419726
124,0.0000000000
125,0.0018430596
126,0.1285440312
127,0.9910900625
128,0.9415781331
129,0.8060944119
130,0.9005912508
131,0.7156502182
132,0.0054820443
133,0.0000000000
134,0.2006629506
135,0.8962315887
136,0.0074265514
137,0.0246259424
138,0.0402005924
139,0.0000000000
140,0.0021218650
141,0.0051023200
142,0.0027588431
143,0.4572504121
144,0.9371514308
145,0.0104006484
146,0.0537519212
147,0.1336095817
148,0.0076613878
149,0.0000000000
150,0.0033534472
151,0.0389470182
152,0.9202328296
153,0.8742634193
154,0.0049095337
155,0.0021431946
156,0.0096664583
157,0.0038626719
158,0.8393163400
159,0.7804248267
160,0.3879341140
161,0.2884986507
162,0.2909886392
163,0.0000000000
164,0.8582460791
165,0.7328476139
166,0.9123058557
167,0.5541770628
168,0.0068860857
169,0.9068311604
170,0.0473519587
171,0.0107885574
172,0.0821003793
173,0.0529288617
174,0.1038472469
175,0.3081461763
176,0.9650290616
177,0.1910985985
178,0.0547605032
179,0.5121173617
180,0.0856030932
181,0.7242021265
182,0.0000000000
183,0.8898547004
184,0.8146105278
185,0.9892711582
186,0.0112116380
187,0.1270065855
188,0.0526867404
189,0.0000000000
190,0.0233433579
191,0.0076302931
192,0.9575531140
193,0.8227460459
194,0.3435507544
195,0.6959850616
196,0.0171841142
197,0.0011287049
198,0.7955464152
199,0.1075971084
200,0.0072998862
201,0.0109601026
202,0.8941520654
203,0.7393711663
204,0.0070322990
205,0.0439288493
206,0.3614111934
207,0.8334559748
208,0.0095845797
209,0.0000000000
210,0.9872058853
211,0.9489659416
212,0.3484125911
213,0.8360973455
214,0.0067257973
215,0.0320631984
216,0.0000000000
217,0.1924049539
218,0.0020812541
219,0.9357658242
220,0.0075911150
221,0.1586561487
222,0.8804414354
223,0.0168052452
224,0.1176881902
225,0.0099945400
226,0.0054403384
227,0.0335950389
228,0.0125519580
229,0.8856163062
230,0.0019850974
231,0.2706340674
232,0.0147351327
233,0.0265609972
234,0.9405887901
235,0.6627005804
236,0.0574797024
237,0.1696231013
238,0.0647758043
239,0.0080522002
240,0.0080739156
241,0.1349901113
242,0.0079536516
243,0.0026758191
244,0.0368069399
245,0.8323605383
